,Champ_Name,Champ_Key,Champ_Tags
0,Aatrox,266,"['Fighter', 'Tank']"
1,Ahri,103,"['Mage', 'Assassin']"
2,Akali,84,['Assassin']
3,Alistar,12,"['Tank', 'Support']"
4,Amumu,32,"['Tank', 'Mage']"
5,Anivia,34,"['Mage', 'Support']"
6,Annie,1,['Mage']
7,Ashe,22,"['Marksman', 'Support']"
8,AurelionSol,136,['Mage']
9,Azir,268,"['Mage', 'Marksman']"
10,Bard,432,"['Support', 'Mage']"
11,Blitzcrank,53,"['Tank', 'Fighter']"
12,Brand,63,['Mage']
13,Braum,201,"['Support', 'Tank']"
14,Caitlyn,51,['Marksman']
15,Camille,164,"['Fighter', 'Tank']"
16,Cassiopeia,69,['Mage']
17,Chogath,31,"['Tank', 'Mage']"
18,Corki,42,['Marksman']
19,Darius,122,"['Fighter', 'Tank']"
20,Diana,131,"['Fighter', 'Mage']"
21,Draven,119,['Marksman']
22,DrMundo,36,"['Fighter', 'Tank']"
23,Ekko,245,"['Assassin', 'Fighter']"
24,Elise,60,"['Mage', 'Fighter']"
25,Evelynn,28,"['Assassin', 'Mage']"
26,Ezreal,81,"['Marksman', 'Mage']"
27,Fiddlesticks,9,"['Mage', 'Support']"
28,Fiora,114,"['Fighter', 'Assassin']"
29,Fizz,105,"['Assassin', 'Fighter']"
30,Galio,3,"['Tank', 'Mage']"
31,Gangplank,41,['Fighter']
32,Garen,86,"['Fighter', 'Tank']"
33,Gnar,150,"['Fighter', 'Tank']"
34,Gragas,79,"['Fighter', 'Mage']"
35,Graves,104,['Marksman']
36,Hecarim,120,"['Fighter', 'Tank']"
37,Heimerdinger,74,"['Mage', 'Support']"
38,Illaoi,420,"['Fighter', 'Tank']"
39,Irelia,39,"['Fighter', 'Assassin']"
40,Ivern,427,"['Support', 'Mage']"
41,Janna,40,"['Support', 'Mage']"
42,JarvanIV,59,"['Tank', 'Fighter']"
43,Jax,24,"['Fighter', 'Assassin']"
44,Jayce,126,"['Fighter', 'Marksman']"
45,Jhin,202,"['Marksman', 'Mage']"
46,Jinx,222,['Marksman']
47,Kaisa,145,['Marksman']
48,Kalista,429,['Marksman']
49,Karma,43,"['Mage', 'Support']"
50,Karthus,30,['Mage']
51,Kassadin,38,"['Assassin', 'Mage']"
52,Katarina,55,"['Assassin', 'Mage']"
53,Kayle,10,"['Fighter', 'Support']"
54,Kayn,141,"['Fighter', 'Assassin']"
55,Kennen,85,"['Mage', 'Marksman']"
56,Khazix,121,['Assassin']
