,summonerId,summonerName,accountId,puuid
0,rECeK6OSuv6vw8STS5hYFZgdB8yujkBuXNh-JeEHF2Mqx3o,Resolve Gamer,SsMuBwyIzrGQnfLwz89xX4zWQOiYq_olWAe_eFTYYjn8GRM,WS_7x3iVay7rE_kwiOUjagJ4AD4C1vou35A9yFOKXgruuwtR0hMfYvAHelcKx3fPeX4q9WBW0VokuA
1,69hS9GKZ1oN2Q1wI--7jq8LDphJZWZH0KM7z0c14vbAQ71E,Sprigs,FFAuSadCXVaAr3rFXo1tZkEuwwM-uc7ZjJR86VBuRbpuKUA,W27WIW2QLr3dnPSklJwF3WuEKdQjG8Q2EBZcxtT6b5fVw8Xl23J7y0Gzo5Q5Lvw2QGHQ-fuml6b8IQ
2,rxhwNSSPKbYlCpuO1mqAK6L919BMtu8k90n69b_j-Q_NhDo,salamayne,4jFsxtQTP3h6kgvzBp5R3LnrxTwqv_iY0csA8h3XC-ovfJE,EZXIHk-CwdVzqjaItniZhXgg1yJq4TH2J2PgtZwkH_ZxKZZ3Fhry8D09xZKsZRSUQKDxzeaQ75jbkg
3,QfLZD-xtUFGvdAyWx1PdDO0wnae7Mf3RZNYEUeyQDGRByeU,Lousyplayer,FkwVXaddtw770dt53g20sbsAUap4g1_kxd3EBQRfCg2gv9I,jGXZqbsmfMtZkOku5UU2bbMk0gymhjKZ9OIQlKMnT82aPwgDQrqxzOLQfWjLETivHIHLOmPBZNTlgg
4,vUnJmp2IyvJce2cltBddThQB7O49BPz642vMvjQ8sZVstu8,Vtanaek,gcp7ru5Z2Ww0FXoi9CGuTvUBXerp8vKT_6PVNovKqlMGd-E,dlXIwsWTwKwdqqMstqzAKZLq18dLLbbdyNPTeiwzrcvCa6uNZgmHKkhOPE4xgiUiPynWX0Wm4qCs-g
5,QAR3HtcEkEoHE8NDiSMI6M3md45BTqT7_AJPpm5O_dhBXcE,iPrimex,1myEoZVL5YXZkB1Wqe84cA5MNDMMTy7z5T_vjXdoZuyxQGI,aFM-z8PPFhNEa3_HbK41tYVTdBHPrezHi0_bQeS_F-lsn4B75guUIWSkuE9s5UlyIcRh92u99hRBPQ
6,UPO-pj6RltnXYF06k_ctTtPvoDOAAKcAvLIkTXWClZde5_k,Saucymeatballs,UpFMPauaRGgC5Iy9kRV8OEJxcEPLvWyEBaGpAIjM9o6tAmg,qMm43t6l7oh3iw6osNur4BTjv2wwbmhHTGNhbF2ZBqSKgGCXX8trSA0_bcubXQZ3YgIQoSzL6kbBBw
7,d_1kk_R6GCHs8imOoCeEdqbCJ3Iid73AoKkFC_I2OC5I7ak,ElectricKing,nKRoL9Q8jvDHX5iiffUY_vDvC65CYYym9jcumYcS_lhTO3c,rY9ZUjhod45mDMz5kl1MFk4Tg3KTPeK6h6Z938aPjB4zab4Fo8PGRBiGHRr4RBMvNTbkwxS82A2s6A
8,erg9lbHeEKBi4K9WZ1rma9z4Sljpg7mUPOEb_BsnNdpD18Y,Azzarr,amD7B2z0M892Xlemvm6XrEqXyDI-32ogYo_wGXDKlvM0K1Y,LCEtnd5xkULQ-78qZ7x3_DtMWtFVF9gmkBQJIRBSujH3JYy5rO1dV9iAdrasgRA3U5W9Rfgv0RqG8A
9,ldcPsfizgNJkrFZO7WG3Ba4sTZ3UKqwbQSArhPINve1rWuc,Clapper of Asses,dALIEq5ODwZX7Arch_imEILkZ8heYcR6-QqMrfHmXS-KNio,dtNpCK2MFK0meh9m7fBapYqPwt-O6eKZ0brN8dfQ5v0ckQlp8obFAIde4Sb-U7PFeVqXpQ1liBLbqA
10,TuBzinyZfa7_Qzmij7xc_a3WbHVk9H9WZMUTOgjyf56hfhk,TJCombo222,Qx6xH7xJXAlVQEcgifUCB7rLWWZN8SoqYKb6hXoPVsn5i7Q,IK6Qh9PpQoiOKgxlqOveo_5yXNXINTT0Jve51sskD4i3HrCtD2LHSHwYwuaAu7yq0fASQvy8oOypLw
11,yqM4Gogaq-Jc-riFkYffku8LI7wLvy80sjq4qCwd1-qKisE,Tifex,b4ou5y58AGdbfu00sDuKpHWXF6G64Qkq3f_1O2IlU69o2vk,x89DEDpP6O-PNEhcPoANAYYoSDtBM5uPjoBuudUdSnNOSbriuLb6vDZC97Re8FtbauRHwM7RNB7zww
12,zhX1Dga8IOIYMJfBatOk4CMSwnJLxIzFkCdm0SF2O7uRxhg,TenebrisCaelum,Y0L-KrI2L8WOacJxE0LsZsF6UrSFJIB2tOOnKprmGMwR7FQ,WkxVnr8OvHCIMOcGapmzZpCktvDIU450_jeWrDWhsqvGJq5vlR-CDu03AeOsCinqYdrE5Qk8II54ig
13,8Cl8rKY0sb4lFXM0b1siRMusXc4Olmw4uSMGpO6IZ3ZQVVw,ZED TOUCHED ME,0KwnHaykgAnlD5i5vAfw9SwHeMuj19Iw7ItSMaiKcSZGvaM,QZ_AIPDApjX7nP_7jPC1HzZlhjimQDdG99OTInmbZ8hA_GQYdZzCLqgxyrhYo0FvXV4JV201WyAFqg
14,Nidr9fXXK9WPnXc8DBqQUXlcOnx3-j8auDewJ9b5lfVcl7k,Vìcky,jAI8V6xtur5GUp0M2qF-lXYW1xPUIJ94mRSXDLTHFVspjRM,NxNpWlERfqJw0WO-rRwwBz4niX1XBGVpzBSVGHXPu6busxRXPOGPMMJwMLuZCKIHuNLszofT4Mk8Jg
15,DN0QmIy16pSI7q3tdYGXyiTUIhnwOGRD0l9uS_MYBxYpTUE,Chicago Katarina,AiyKCbxqXGrz4h4cTpC5lBEiJMKF0NLDxbBJKCOiOf5kh2E,f_vxNU-Yk-cxjBoomJRx4Owm890fgTdb4owkJJrgiqbCUUwmjPCOryuCHghkZyhRKvT-4lieqrz4CA
16,BCAMQzSrVtiZXlzpLBRbFNLZxt_Z9mtikOH_f6CT4c1ACi0,Oliver Hartt,cxkB85_Hp3lYOL3PLcChnMBF0QcWD56x-rQPOObudvoVIQY,KVHrgUthgw4xYlTm8B5MIpcq4Va9JS6_5ywzCrKnIG7_EXeSVxUrauu5wj-zuvpiBjNTvNVQMT9mOg
17,fEzkTvspS6eowQXoTDM_hUpzM4aSxbM_Iu9U_PYx0iEXwXU,Migss,8ckveqXqivDs2I4nn0KAdtZ-JeboUdzkhMF6bgqcfmdjsyE,ixQgl9WCkI-wIwQKya87SDAZiDitM_u4aXu_LZUsIGXLCbLgxp8sqAOTy8pZ7qIkKHxv5AbmZfU6wA
18,GhYHPkgTJKKTQisxxKZbqcbYrMmEjr6u0Jz2DbquaJSn-K4,Madarà,Jjfnei-RWrOyqJ1pcpvbIUpTHFhtTsawybCjTy15oRlxW4o,iGNssNcGV7NgskBuqyaExfhFkVXeZvezhFiKkqDO5Jvj2rnsjyLdE0ZWiBbZzpm8kLiIR_gPeXkPMw
19,E8oCVIn0azWUGv6C3vX4rduJIH5CuKyE7JwdeVYBO8dUQyQ,CurqsBleh,8hbRktu7EE_JVYHXeTDlLGgrhNgbkgluv0BhOwwkKWlLi2k,N3PCARcNbkh9EcNTpL4h72aOk4LyNMzHW8am4AsVlJGoI90PmVih0wLtuVOjTf1hunJGKwa1FmSfxQ
20,FgMneIwK32-oXgxtdaQinipXKRTEcDDGZ9JrIc_2emJgAEA,Helium2323,CwFGhJYgCMUCaIQvtK1VfcghnKP7Wvr0XZS2RGcROLFkLQY,ACRb9ec9E6wyURWm2ZY2KqAQcK-fTtSD0-QpPjOrfbikymToYq22YbhueZ414VhPL6LkTVDHvQUNcg
