leagueId,tier,number
00079190-28d2-11e9-ae1b-c81f66cf135e,SILVER,168
00095500-a9e4-11e9-9421-c81f66cf2333,GOLD,197
000d50e0-365a-11e9-bb35-c81f66dbb56c,GOLD,197
00151540-3dfe-11e9-a9ff-c81f66cf135e,DIAMOND,200
001d30e0-9b9b-11e9-b227-c81f66cf135e,SILVER,84
001d7920-33cb-11e9-8782-c81f66cf2333,IRON,32
00259a60-452d-11e9-9f17-c81f66cf135e,GOLD,189
0028a740-2044-11e9-bc42-c81f66dbb56c,BRONZE,76
002de510-210d-11e9-9704-c81f66cf135e,GOLD,187
002e28d0-8f0e-11e9-8251-c81f66dbb56c,PLATINUM,200
00309970-6f07-11e9-9b40-c81f66cf2333,GOLD,196
00313930-ec9c-11e9-a935-c81f66cf135e,GOLD,129
00346130-b3eb-11e9-9666-c81f66cf2333,SILVER,94
003acba0-bb03-11e9-90de-c81f66dbb56c,BRONZE,42
00431640-2006-11e9-b995-c81f66cf2333,SILVER,181
00442c60-c4c5-11e9-ac4e-c81f66dbb56c,PLATINUM,199
0051b560-5bd4-11e9-b078-c81f66dbb56c,BRONZE,56
00536900-4b3f-11e9-a9e1-c81f66cf135e,GOLD,199
00628d70-2cf1-11e9-ac1b-c81f66cf2333,SILVER,176
006fe640-2040-11e9-aa34-c81f66cf135e,IRON,85
00751fa0-f887-11e9-90b6-96db573dc5f4,BRONZE,30
0076e4d0-c307-11e9-8b1c-c81f66cf135e,SILVER,81
00781a70-207e-11e9-8c4d-c81f66dbb56c,SILVER,159
00787100-30c3-11e9-9bdb-c81f66cf135e,GOLD,198
0078bbb0-2047-11e9-a5ff-c81f66dbb56c,BRONZE,128
0079bb00-81cc-11e9-8a0e-c81f66cf135e,SILVER,91
007b2d00-b3d1-11e9-951b-c81f66cf135e,GOLD,199
007c2310-e0a2-11e9-950a-c81f66cf2333,BRONZE,27
007c6e10-3283-11e9-91b7-c81f66dbb56c,IRON,17
00843e10-20ef-11e9-861f-c81f66cf135e,IRON,52
00847f10-2095-11e9-a447-c81f66cf2333,BRONZE,81
008c43c0-2465-11e9-8e8e-c81f66cf135e,SILVER,182
0095fd90-3aa7-11e9-8595-c81f66dbb56c,DIAMOND,202
009a89d0-2f14-11e9-91b7-c81f66dbb56c,SILVER,173
009d23b0-6700-11e9-a30b-c81f66dbb56c,PLATINUM,198
009d3460-457a-11e9-8d57-c81f66cf2333,GOLD,196
009e3dc0-41b4-11e9-8a61-c81f66dbb56c,SILVER,163
00a7d170-69c6-11e9-9191-c81f66dbb56c,GOLD,203
00ace4d0-742a-11e9-a20e-c81f66cf2333,BRONZE,57
00afd200-457a-11e9-8d57-c81f66cf2333,IRON,27
00b086a0-97be-11e9-b135-c81f66cf135e,GOLD,190
00b09550-457a-11e9-8d57-c81f66cf2333,IRON,71
00b0c190-c45c-11e9-8640-c81f66cf135e,SILVER,90
00b6f080-21e4-11e9-85b4-c81f66cf2333,BRONZE,101
00b82ac0-24de-11e9-b1c7-c81f66cf135e,DIAMOND,202
00c9ce40-f6e5-11e9-8206-96c9432cf6e4,PLATINUM,108
00cb8770-20c7-11e9-9b3f-c81f66cf2333,BRONZE,111
00d07caf-539b-346a-a4f8-fdb57ab31aa4,GRANDMASTER,700
00d15490-215b-11e9-9efe-c81f66dbb56c,PLATINUM,195
00d16540-2e38-11e9-854d-c81f66dbb56c,SILVER,164
00d61240-b6c6-11e9-aaf0-c81f66dbb56c,SILVER,187
00d64490-42ef-11e9-8458-c81f66cf135e,GOLD,194
00d70310-ebc0-11e9-8b14-c81f66cf2333,BRONZE,27
00e22ca0-457a-11e9-8d57-c81f66cf2333,SILVER,132
00e253b0-457a-11e9-8d57-c81f66cf2333,SILVER,169
00e37da0-3e52-11e9-acc9-c81f66cf2333,SILVER,177
00eb1fe0-21e4-11e9-b719-c81f66cf2333,SILVER,176
00eb2790-7ad3-11e9-a1ee-c81f66dbb56c,GOLD,195
00eca960-7da0-11e9-8251-c81f66dbb56c,GOLD,196
00f0eb00-201d-11e9-9a46-c81f66dbb56c,IRON,80
00f6b200-200a-11e9-beb2-c81f66cf135e,GOLD,190
00f829f0-21bd-11e9-85b4-c81f66cf2333,SILVER,159
00f94560-ff7a-11e9-9566-da80b681e2c4,GOLD,105
00fa38d0-3fe5-11e9-a9ff-c81f66cf135e,BRONZE,111
01003f90-317c-11e9-9bdb-c81f66cf135e,SILVER,171
010259e0-22bf-11e9-af42-c81f66dbb56c,BRONZE,55
010951e0-21c6-11e9-b502-c81f66cf2333,GOLD,194
010beb10-2515-11e9-aec4-c81f66cf135e,GOLD,197
011298f0-2661-11e9-af0c-c81f66cf2333,DIAMOND,211
011759a0-e2bb-11e9-b3ed-c81f66dbb56c,GOLD,105
011d4910-a5de-11e9-a30f-c81f66cf2333,PLATINUM,200
011f7790-76ad-11e9-bd4d-c81f66cf2333,PLATINUM,195
01230040-2059-11e9-a447-c81f66cf2333,SILVER,169
012a5f80-3a11-11e9-a20d-c81f66cf2333,BRONZE,108
012f57e0-d81a-11e9-8b35-c81f66cf135e,PLATINUM,158
0130e9c0-e0c6-11e9-b3ed-c81f66dbb56c,GOLD,118
01327a10-ce33-11e9-91d7-c81f66cf2333,PLATINUM,176
013427c0-ce33-11e9-91d7-c81f66cf2333,PLATINUM,140
013622a0-2ec9-11e9-8782-c81f66cf2333,SILVER,182
0136b2f0-b4d0-11e9-9666-c81f66cf2333,PLATINUM,197
01578d20-1ffe-11e9-a69a-c81f66dbb56c,GOLD,194
01592e60-d335-11e9-b0d8-c81f66cf135e,PLATINUM,164
015d99f0-2417-11e9-828d-c81f66dbb56c,IRON,33
015f7bf0-2078-11e9-ba5a-c81f66cf135e,SILVER,150
016c7c30-346c-11e9-ae81-c81f66cf135e,BRONZE,113
016fa200-7aa0-11e9-b135-c81f66cf135e,GOLD,200
01743730-28a1-11e9-ac29-c81f66cf135e,GOLD,193
017da860-c3b5-11e9-9542-c81f66cf2333,SILVER,96
017e6ca0-457a-11e9-8d57-c81f66cf2333,BRONZE,59
0186f830-29db-11e9-b7ee-c81f66cf2333,SILVER,167
018adbb0-200a-11e9-bc42-c81f66dbb56c,BRONZE,99
0195f8a0-a206-11e9-9af7-c81f66dbb56c,GOLD,128
019d43b0-2035-11e9-a5ff-c81f66dbb56c,BRONZE,104
019fbf40-2518-11e9-8022-c81f66cf2333,IRON,32
01a0cfa0-8a00-11e9-a1ee-c81f66dbb56c,SILVER,93
01ad1550-80e4-11e9-b227-c81f66cf135e,SILVER,101
01bd3ae0-7831-11e9-8a0e-c81f66cf135e,SILVER,100
01bf2580-9884-11e9-8b1d-c81f66dbb56c,GOLD,193
01c605c0-2053-11e9-a3e1-c81f66cf2333,BRONZE,86
01ca5590-2674-11e9-adc6-c81f66cf135e,BRONZE,118
01cf1130-27cc-11e9-bf8a-c81f66cf2333,IRON,28
01d17ec0-51e8-11e9-80d3-c81f66dbb56c,GOLD,195
01d31ea0-21d3-11e9-9704-c81f66cf135e,BRONZE,64
01dd0720-3291-11e9-8782-c81f66cf2333,DIAMOND,169
01e3d9e0-3d92-11e9-b700-c81f66cf2333,SILVER,178
01e41d50-ec70-11e9-a935-c81f66cf135e,SILVER,81
01f78ea0-c018-11e9-91d7-c81f66cf2333,SILVER,85
01f79010-c6e6-11e9-b538-c81f66dbb56c,GOLD,172
0207a7a0-201c-11e9-b995-c81f66cf2333,BRONZE,108
020d4fe0-20bf-11e9-ba5a-c81f66cf135e,SILVER,170
021a74b0-227f-11e9-9704-c81f66cf135e,BRONZE,61
021cb3b0-bc03-11e9-8de0-c81f66cf2333,PLATINUM,198
021ef360-f537-11e9-a4b0-c81f66cf2333,SILVER,71
02224090-9675-11e9-a1ee-c81f66dbb56c,GOLD,196
0229db70-2708-11e9-ae1b-c81f66cf135e,BRONZE,87
0232aab0-88d4-11e9-bd4d-c81f66cf2333,SILVER,99
023311c0-3312-11e9-ae81-c81f66cf135e,SILVER,160
023587a0-457a-11e9-8d57-c81f66cf2333,GOLD,197
023720b0-79f0-11e9-a1ee-c81f66dbb56c,GOLD,200
02485c10-2a8e-11e9-bc34-c81f66dbb56c,SILVER,173
02487ac0-b0e3-11e9-8754-c81f66dbb56c,GOLD,197
0249d520-bd2a-11e9-ac8d-c81f66dbb56c,SILVER,85
02500fa0-3312-11e9-8e2d-c81f66cf135e,GOLD,196
0256a430-457a-11e9-8d57-c81f66cf2333,BRONZE,70
0257cc00-2033-11e9-bc42-c81f66dbb56c,SILVER,174
025bf580-f18b-11e9-85da-c81f66cf135e,GOLD,102
025f2530-2016-11e9-bc42-c81f66dbb56c,BRONZE,96
02651110-1ff4-11e9-aa34-c81f66cf135e,PLATINUM,210
026d8a90-36b3-11e9-8cee-c81f66cf135e,GOLD,200
026de5f0-5a24-11e9-8f73-c81f66cf2333,BRONZE,116
0270aa80-3e98-11e9-8fac-c81f66dbb56c,SILVER,171
0273b560-768b-11e9-84dd-c81f66dbb56c,GOLD,196
027a1880-33a4-11e9-afa1-c81f66cf2333,SILVER,164
027b3210-42db-11e9-b803-c81f66dbb56c,DIAMOND,200
027e8b40-712f-11e9-a20e-c81f66cf2333,GOLD,198
0281f3d0-2787-11e9-bf8a-c81f66cf2333,PLATINUM,194
02820bb0-2a78-11e9-9d14-c81f66cf2333,PLATINUM,198
02822660-20ee-11e9-ba5a-c81f66cf135e,GOLD,195
0283b830-209a-11e9-a3e1-c81f66cf2333,SILVER,178
0284b1a0-faeb-11e9-90b6-96db573dc5f4,SILVER,70
02855550-457a-11e9-8d57-c81f66cf2333,SILVER,139
028b8f20-c1b6-11e9-9b17-c81f66cf135e,SILVER,100
028be670-2056-11e9-a43b-c81f66cf135e,IRON,22
028e13a0-8c62-11e9-bd4d-c81f66cf2333,GOLD,197
028e30f0-20c5-11e9-9a90-c81f66dbb56c,BRONZE,81
028fa7f0-7c14-11e9-be44-c81f66cf135e,SILVER,98
0290cc00-4c96-11e9-bf44-c81f66dbb56c,GOLD,198
02a0aae0-20ee-11e9-ba5a-c81f66cf135e,BRONZE,63
02a16bb0-5f4b-11e9-9d2d-c81f66dbb56c,GOLD,196
02a432c0-e86f-11e9-a6d0-c81f66dbb56c,DIAMOND,132
02ae42b0-97cf-11e9-a937-c81f66cf2333,PLATINUM,201
02bd91d0-2127-11e9-9704-c81f66cf135e,BRONZE,125
02bed090-9094-11e9-9959-c81f66cf2333,SILVER,122
02bee180-204f-11e9-9b3f-c81f66cf2333,GOLD,207
02c408b0-1fee-11e9-8a0c-c81f66cf135e,IRON,41
02c418e0-614e-11e9-96b3-c81f66cf135e,DIAMOND,180
02c69360-2033-11e9-aa34-c81f66cf135e,BRONZE,115
02d42740-437a-11e9-b803-c81f66dbb56c,BRONZE,56
02decc80-20c6-11e9-a43b-c81f66cf135e,BRONZE,72
02e07440-2044-11e9-a5ff-c81f66dbb56c,IRON,88
02e2f2f0-4f70-11e9-8ed3-c81f66cf135e,GOLD,195
02e30480-ae5b-11e9-bf24-c81f66cf2333,SILVER,104
02eba0c0-7618-11e9-a015-c81f66cf135e,GOLD,198
02ebd620-286c-11e9-90df-c81f66dbb56c,DIAMOND,200
02f11610-22b5-11e9-9efe-c81f66dbb56c,DIAMOND,249
02f8ead0-2c64-11e9-9d14-c81f66cf2333,BRONZE,116
0300bcd0-f674-11e9-9cc3-d2cc101b851c,PLATINUM,118
0300d410-2071-11e9-8b20-c81f66cf135e,SILVER,163
03050c10-206c-11e9-b0ff-c81f66dbb56c,BRONZE,99
030923f0-7da4-11e9-a1ee-c81f66dbb56c,PLATINUM,199
0314d9f0-412e-11e9-be5a-c81f66cf135e,BRONZE,117
031ed1c0-6abf-11e9-9094-c81f66cf2333,SILVER,173
032602d0-5f3c-11e9-981a-c81f66cf135e,BRONZE,54
032a5a80-b71e-11e9-b293-c81f66cf2333,GOLD,197
032aaaf0-8c24-11e9-8a0e-c81f66cf135e,PLATINUM,195
032f9260-2007-11e9-aa34-c81f66cf135e,IRON,32
0331f400-2062-11e9-9bea-c81f66dbb56c,BRONZE,104
033bfb20-457a-11e9-8d57-c81f66cf2333,BRONZE,114
03413ec0-213d-11e9-9704-c81f66cf135e,PLATINUM,201
03462ea0-bbfa-11e9-bf64-c81f66cf135e,SILVER,181
03463200-1fe3-11e9-bc42-c81f66dbb56c,BRONZE,121
034aad80-5b39-11e9-9dc4-c81f66cf135e,PLATINUM,199
034b8130-203b-11e9-9a46-c81f66dbb56c,SILVER,173
03530590-457a-11e9-8d57-c81f66cf2333,SILVER,89
035736f0-b178-11e9-a997-c81f66dbb56c,PLATINUM,198
035eeeb0-2026-11e9-bc42-c81f66dbb56c,BRONZE,121
035fde70-2039-11e9-97cd-c81f66cf135e,BRONZE,133
0361fac0-227d-11e9-85b4-c81f66cf2333,IRON,27
0369da10-1ff8-11e9-aa34-c81f66cf135e,BRONZE,108
0373c450-c62c-11e9-bd12-c81f66dbb56c,BRONZE,39
0375a4c0-2107-11e9-aa7f-c81f66cf2333,SILVER,160
037eb620-21af-11e9-b719-c81f66cf2333,GOLD,194
03812620-32d1-11e9-8782-c81f66cf2333,BRONZE,48
03858bc0-aa9a-11e9-9421-c81f66cf2333,BRONZE,38
03947ee0-37e6-11e9-a9ff-c81f66cf135e,SILVER,176
03979c00-b541-11e9-b293-c81f66cf2333,SILVER,91
039d3e10-d5be-11e9-8636-c81f66cf2333,GOLD,141
039e6fe0-1ffe-11e9-b995-c81f66cf2333,BRONZE,138
039f72a0-3efd-11e9-8cee-c81f66cf135e,GOLD,198
03a17980-2556-11e9-af0c-c81f66cf2333,BRONZE,73
03af2500-a682-11e9-b135-c81f66cf135e,SILVER,85
03b0c120-3680-11e9-8cee-c81f66cf135e,SILVER,173
03b15c30-7851-11e9-a30f-c81f66cf2333,SILVER,97
03b23c90-457a-11e9-8d57-c81f66cf2333,GOLD,197
03b2b1c0-457a-11e9-8d57-c81f66cf2333,GOLD,199
03bb5f10-3a1b-11e9-a9ff-c81f66cf135e,GOLD,193
03bb9f90-c146-11e9-8b1c-c81f66cf135e,SILVER,94
03bc1760-5f33-11e9-93fd-c81f66cf2333,PLATINUM,197
03c0ab00-d020-11e9-bd12-c81f66dbb56c,GOLD,192
03c26b50-37a7-11e9-8cee-c81f66cf135e,SILVER,175
03c4d720-21c0-11e9-9704-c81f66cf135e,GOLD,196
03c8b830-2243-11e9-aa7f-c81f66cf2333,SILVER,163
