,matchid
0,3211899761
1,3208556548
2,3208103339
3,3208101403
4,3208039657
5,3194939442
6,3194965475
7,3194932579
8,3194177831
9,3192736946
10,3188425116
11,3188433501
12,3171159927
13,3161650707
14,3161614466
15,3201420923
16,3201356838
17,3201326586
18,3201265538
19,3201251805
20,3212099159
21,3196572820
22,3196542046
23,3196407165
24,3196380424
25,3165574714
26,3161257449
27,3161234549
28,3159208470
29,3157243800
30,3193012140
31,3193005481
32,3192178166
33,3192211971
34,3190477553
35,3210296640
36,3210274873
37,3209958035
38,3209486694
39,3209493436
40,3214132899
41,3213820349
42,3213793659
43,3213747692
44,3213700318
45,3165392107
46,3165359090
47,3165356787
48,3159381543
49,3158780608
50,3213909382
51,3213887992
52,3053076367
53,3051339045
54,3051351952
55,3213208109
56,3210561656
57,3209748380
58,3209688516
59,3209187460
60,3040662393
61,3040649309
62,3040647031
63,3040379627
64,3040352859
65,3183728402
66,3183692353
67,3183653953
68,3183632158
69,3183617266
70,3210304827
71,3209423132
72,3209361307
73,3209138107
74,3209174909
75,3201698212
76,3194471467
77,3184439254
78,3180298477
79,3179251984
80,3215670957
81,3214788940
82,3214786985
83,3214389330
84,3214392007
85,3184252275
86,3184178571
87,3184215691
88,3104835562
89,3034904946
90,3209177246
91,3209154410
92,3208923080
93,3208867146
94,3208881741
95,3074516132
96,3074485682
97,3074423761
98,3074377118
99,3071504538
100,3207016118
101,3206249088
102,3205594020
103,3204427530
104,3204406320
105,3198964190
106,3198932751
107,3198981576
108,3184167418
109,3184136310
110,3103775426
111,3086153708
112,3080850637
113,3077199168
114,3074054848
115,3213136899
116,3212555337
117,3212421581
118,3212330202
119,3209787931
120,3074305307
121,3074282088
122,3074271187
123,3073653161
124,3073602705
125,3139800569
126,3139768275
127,3139442417
128,3131258191
129,3131015902
130,3198465594
131,3196496501
132,3195141800
133,3145871737
134,3076337595
135,3121911017
136,3121868425
137,3111176785
138,3102308326
139,3077883594
140,3215574153
141,3215560758
142,3214385173
143,3214298747
144,3212640034
145,3212483722
146,3210652730
147,3210036141
148,3210050092
149,3209994042
150,3206666368
151,3206670690
152,3206624899
153,3204654522
154,3204640815
155,3210595305
156,3209396613
157,3209373923
158,3209350328
159,3209146841
160,3116645441
161,3116608922
162,3116601311
163,3116584236
164,3116547006
165,3205989454
166,3205942589
167,3205666708
168,3205071731
169,3205059933
170,3131569331
171,3116057061
172,3112273293
173,3110045895
174,3109372724
175,3213343938
176,3213042189
177,3212990326
178,3212957217
179,3207058737
180,3038444674
181,3038334746
182,3038328114
183,3038127852
184,3038140359
185,3202795849
186,3201386126
187,3200171858
188,3200115468
189,3199424646
190,3212519508
191,3211729314
192,3211092565
193,3211071718
194,3211049840
195,3215845261
196,3215880404
197,3215786586
198,3215771073
199,3215746104
200,3214409745
201,3214352904
202,3214335966
203,3214259714
204,3197521667
205,3133431985
206,3130930505
207,3128335126
208,3123113158
209,3123071449
210,3139362374
211,3139332810
212,3138281575
213,3136682479
214,3134584194
215,3215706767
216,3213568221
217,3206688725
218,3206481032
219,3205985643
220,3215601011
221,3215575874
222,3215559970
223,3215485028
224,3206607076
225,3212545781
226,3210460909
227,3210416184
228,3210431969
229,3206753655
230,3186444324
231,3186462311
232,3186426988
233,3184791087
234,3183969854
235,3201777203
236,3201731730
237,3201705929
238,3069312143
239,3069219480
240,2968396600
241,2968388410
242,2967421662
243,2967367317
244,2967340960
245,3210227306
246,3210216316
247,3210225186
248,3210263199
249,3210242726
250,3210630561
251,3210574787
252,3210518922
253,3206018007
254,3206002221
255,3203623136
256,3203566672
257,3175315357
258,3175300596
259,3175258176
260,3214729306
261,3214738172
262,3214727258
263,3214745812
264,3214763580
265,3202905051
266,3202812008
267,3202771142
268,3202713960
269,3202636359
270,3207631775
271,3207539184
272,3207573289
273,3207239616
274,3207285278
275,3212704590
276,3212690672
277,3211666352
278,3211524174
279,3211334072
280,3131424037
281,3131398783
282,3131391241
283,3131383177
284,3131344690
285,3050022727
286,3048830542
287,3048788960
288,3048249067
289,3048228457
290,3192183537
291,3192119169
292,3192162400
293,3191207519
294,3191202870
295,3196860268
296,3196798550
297,3191798927
298,3191806935
299,3191784551
300,3072507105
301,3072499069
302,3066780851
303,3063715408
304,3063585471
305,3212656001
306,3204787308
307,3200341658
308,3200277131
309,3200260082
310,3138676780
311,3136610355
312,3136559236
313,3135649954
314,3135589673
315,3210075060
316,3210080512
317,3209840186
318,3209737065
319,3209638032
320,3195486780
321,3192394615
322,3185790019
323,3181618041
324,3181620441
325,3215497205
326,3215504074
327,3215374880
328,3215091954
329,3214956599
330,3208883151
331,3208807635
332,3208803942
333,3207135025
334,3205700755
335,3074657140
336,3074351879
337,3074330547
338,3074275056
339,3074236001
340,3215144879
341,3215110030
342,3214966376
343,3210077272
344,3206920413
345,3204879281
346,3203878511
347,3203859477
348,3180776001
349,3179969990
350,3194121810
