,matchid
0,3204946930
1,3204919043
2,3203832353
3,3203783608
4,3201231292
5,3201183916
6,3201089581
7,3199774606
8,3199772487
9,3199734140
10,3199752973
11,3199761428
12,3199751287
13,3199721092
14,3199689556
15,3199698462
16,3198918667
17,3198907568
18,3198925699
19,3198912358
20,3198882086
21,3198901503
22,3198871228
23,3198899945
24,3198868486
25,3197148893
26,3197113428
27,3197098912
28,3197085256
29,3197082279
30,3197048217
31,3197017015
32,3196995215
33,3197032127
34,3196979569
35,3187332173
36,3184619509
37,3184589318
38,3177937276
39,3177621653
40,3177548893
41,3177533518
42,3176863298
43,3176828495
44,3176807686
45,3176795928
46,3176150082
47,3175298096
48,3175304673
49,3175275085
50,3175281597
51,3168637809
52,3167509403
53,3167465602
54,3167449059
55,3167434721
56,3167440065
57,3166370548
58,3161428497
59,3161405048
60,3160085719
61,3157257134
62,3157250946
63,3157192320
64,3157162596
65,3157116873
66,3157109610
67,3153368332
68,3153346852
69,3153344103
70,3153361528
71,3153359928
72,3153245380
73,3153230382
74,3153169670
75,3152741451
76,3152644852
77,3152618602
78,3152602255
79,3152489312
80,3152446425
81,3152051994
82,3152038050
83,3148376573
84,3148346534
85,3139190183
86,3138921697
87,3138848598
88,3138841327
89,3138813095
90,3138757222
91,3138707024
92,3138678269
93,3138658513
94,3138653348
95,3138607404
96,3138601937
97,3138362428
98,3138357943
99,3138034658
100,3203748904
101,3203730641
102,3203168597
103,3203195279
104,3200973757
105,3200297896
106,3200282008
107,3200243156
108,3200001810
109,3199924045
110,3199901793
111,3199887402
112,3199793852
113,3199790460
114,3199128645
115,3199124475
116,3198987352
117,3198985453
118,3198954295
119,3198951849
120,3198930279
121,3198535255
122,3197367345
123,3197361471
124,3197308649
125,3197225306
126,3197172250
127,3197127435
128,3196987413
129,3196965875
130,3196982118
131,3196961237
132,3196899209
133,3196102621
134,3196050876
135,3192861246
136,3192798265
137,3192185969
138,3191959806
139,3191887939
140,3191663290
141,3191607580
142,3191601720
143,3191287880
144,3191229271
145,3191244995
146,3191260177
147,3191128603
148,3190108472
149,3190082575
150,3189930824
151,3189885985
152,3189837115
153,3189816550
154,3189813527
155,3189810391
156,3189708180
157,3188829385
158,3188861081
159,3188627039
160,3188601604
161,3188525151
162,3188508075
163,3188464223
164,3188500751
165,3188027776
166,3187992031
167,3187964801
168,3187553117
169,3187535782
170,3187501447
171,3187447370
172,3184180437
173,3184167721
174,3183700664
175,3182185565
176,3182181465
177,3182127186
178,3182123538
179,3181527997
180,3181511994
181,3181382092
182,3181327794
183,3180445952
184,3180420347
185,3180392942
186,3180361682
187,3180158775
188,3180164345
189,3180079281
190,3180093727
191,3180073098
192,3180007884
193,3179798759
194,3179776347
195,3179802377
196,3179737755
197,3179713649
198,3179686469
199,3179679797
200,3143362792
201,3143338953
202,3142226855
203,3142220448
204,3142204106
205,3142178415
206,3142172609
207,3142156663
208,3142151479
209,3142119941
210,3142057029
211,3141821510
212,3141135300
213,3140638723
214,3140200188
215,3134851041
216,3134763296
217,3133161468
218,3133123243
219,3133090640
220,3133025985
221,3133014730
222,3132985028
223,3132934533
224,3131151037
225,3131067739
226,3131041172
227,3130499109
228,3130461914
229,3130373080
230,3130283370
231,3130256889
232,3130244698
233,3130195213
234,3130166285
235,3129526713
236,3129511618
237,3129432801
238,3129385240
239,3129298759
240,3129254360
241,3129232875
242,3129204047
243,3129154440
244,3178962993
245,3178923053
246,3178378549
247,3178158066
248,3178017358
249,3177464183
250,3175118934
251,3174161909
252,3173965229
253,3173970750
254,3173822549
255,3173771482
256,3173724168
257,3160732369
258,3159899492
259,3159684872
260,3159669390
261,3156507619
262,3156462597
263,3156295557
264,3156183013
265,3156123058
266,3156104251
267,3156004705
268,3155936730
269,3155933420
270,3155506878
271,3155480751
272,3153061301
273,3152779617
274,3152795826
275,3152754381
276,3152649905
277,3152590405
278,3152105809
279,3152094569
280,3151643902
281,3151248369
282,3151233292
283,3151098867
284,3151071889
285,3151010982
286,3150550598
287,3150386028
288,3150326670
289,3150229527
290,3150209180
291,3150075297
292,3150059634
293,3150005789
294,3149974668
295,3149919253
296,3149936119
297,3149903788
298,3149856651
299,3149848334
300,3149836793
301,3149735244
302,3149717931
303,3149595133
304,3149487746
305,3149326961
306,3149331567
307,3149178168
308,3149160283
309,3149097860
310,3149113027
311,3149070464
312,3149028026
313,3148769277
314,3148784465
315,3148731569
316,3148750154
317,3148583974
318,3147857032
319,3147724946
320,3147704809
321,3147670511
322,3147553566
323,3147540837
324,3147516712
325,3147511645
326,3147199226
327,3147197013
328,3147074025
329,3147046826
330,3147024929
331,3146985361
332,3146972533
333,3146812380
334,3146412456
335,3146346934
336,3146129675
337,3146124918
338,3146039655
339,3146036609
340,3146023954
341,3145998069
342,3145638948
343,3145566270
344,3109334017
345,3109310468
346,3109272271
347,3107368877
348,3107342027
349,3105882153
350,3105831904
351,3105789174
352,3105749432
353,3105718130
354,3105721583
355,3105647369
356,3105572299
357,3105542544
358,3105523503
359,3105495333
360,3105458799
361,3105384287
362,3105389922
363,3105355831
364,3105303870
365,3105300161
366,3104938654
367,3104708487
368,3104689695
369,3104664219
370,3104657325
371,3104655735
372,3104609156
373,3104251228
374,3104240003
375,3103912524
376,3103890964
377,3103763477
378,3103743769
379,3103704955
380,3103649701
381,3103627493
382,3103579220
383,3103573237
384,3103462492
385,3103429257
386,3103423575
387,3103416934
388,3103413333
389,3103400868
390,3103267532
391,3103242497
392,3103215561
393,3102897166
394,3102879198
395,3102660110
396,3102574802
397,3102474916
398,3102345772
399,3102363147
400,3102298042
401,3102283622
402,3102224220
403,3212807212
404,3212752727
405,3212696198
406,3212331032
407,3212278283
408,3211798812
409,3211755083
410,3211729403
411,3211732082
412,3211667660
413,3211675231
414,3211629703
415,3211276258
416,3211320568
417,3211156974
418,3211114475
419,3211130356
420,3211058243
421,3211074880
422,3211102209
423,3210796478
424,3210591916
425,3210526031
426,3210469493
427,3210494435
428,3210460653
429,3210377655
430,3210335531
431,3210351653
432,3210146572
433,3210021942
434,3209925461
435,3209869136
436,3209882572
437,3209713064
438,3209668692
439,3209622979
440,3209597728
441,3209582928
442,3209005267
443,3209022409
444,3209001729
445,3208967734
446,3208925631
447,3208940734
448,3208755270
449,3208688982
450,3208701929
451,3208616637
452,3208641329
453,3208567093
454,3208590691
455,3208492819
456,3208485270
457,3208441550
458,3208274635
459,3208238753
460,3208204754
461,3207981758
462,3207936687
463,3207931336
464,3207864199
465,3207789553
466,3207783253
467,3207756551
468,3207142346
469,3207140408
470,3207077198
471,3207113855
472,3207121971
473,3207049618
474,3206955034
475,3206983304
476,3206962059
477,3206999943
478,3206927407
479,3206896115
480,3206607465
481,3206569454
482,3206558459
483,3206546698
484,3206542490
485,3206477587
486,3206493089
487,3206439651
488,3206434281
489,3206369692
490,3206395852
491,3206401910
492,3206349991
493,3206306981
494,3189183898
495,3189165241
496,3188665712
497,3188626708
498,3188595623
499,3188549081
500,3188552449
501,3188457618
502,3188492714
503,3166774265
504,3146751902
505,3146716727
506,3146710634
507,3146148765
508,3146139376
509,3146113924
510,3145852338
511,3145808637
512,3145812183
513,3143038531
514,3143013881
515,3142993611
516,3142951945
517,3142912916
518,3142885079
519,3142586411
520,3142582125
521,3142576904
522,3141788882
523,3141757980
524,3141719602
525,3141719809
526,3141691614
527,3140994820
528,3140965962
529,3140927724
530,3140934751
531,3140868374
532,3140846027
533,3140806526
534,3140791306
535,3131375718
536,3131333792
537,3131322151
538,3130620266
539,3130583979
540,3130600860
541,3128853755
542,3128814830
543,3128771419
544,3128761399
545,3128722472
546,3125938466
547,3125896235
548,3125862922
549,3124304808
550,3124266883
551,3124238164
552,3123988978
553,3123977703
554,3123220427
555,3123212663
556,3123174328
557,3123155216
558,3123113679
559,3123062696
560,3123035443
561,3123006762
562,3122518501
563,3122525288
564,3122522470
565,3122478154
566,3122483005
567,3163621295
568,3163595128
569,3163562588
570,3162184659
571,3161331935
572,3161257449
573,3159619023
574,3159616802
575,3159594462
576,3159601401
577,3158947363
578,3158944985
579,3158952531
580,3158949782
581,3158905975
582,3158900097
583,3158894826
