,summonerId,summonerName,accountId,puuid
0,_DSuY6M0wjEg1ERo7GcG5M17xPyhN5RFk6Z0TzvY8Bo5U02u,WalkeroXpF,quQCesG-VNYy4LiSGJQd20v0WNj3Ypv2H1RC4eDbeKYwZVgMWrJx8qUw,yetj3slA84yzjBGL9POcZQAPwAbz1bNV9ijFp6u6LOss_VG3CKiW-bd51v6YvZ6etJlU_eek1tOyJA
1,ub8c8EeNaMBVp-NtwWDEwAeijgzurQbcsKbnYkPyxRKuD3ig,MiriamqFvO,xsm3h0jgKINPmRF3PezriUVzq4jsM2ai_1m6Otyhe4XF56OcMeXyN6rq,P_4OftgJiKxNaWjcKoIVs2_6GvdHZSKUZvHmP8xKiHsEkw5On0GINiv-RmyL-MjtEd2QnEhgApugIQ
2,KK_rYfzCUN1YUApzB_PqCDK5SDtmIdncZfybU-vvmvaKVqvS,948295432,apy9bl74ZatK7TbwbXGztnTByQ7vYAOQDPQ6aAmcziWQ9uAkXR4OE9fC,IyJZAw4Qg3XnmgUQDirjXAIaYoW_5c7hYCwvmkojng98ir3Kpo6beVI_SriiL2tSs60w8Jp0NfhpoQ
3,1N11dhsInA1BvB5kuLWOYmw-LZECwDmJgC9-CMckLxdzu5j9,qiaoxin146652,xXOzX9FM9Om17c5W_VmRsV8fv0Gh4KI1s0dhjUgDosoKZxrK9t8mKgie,naw97qriD1lg1arbAU2PKu7f6OLoRPCqhJuswM7SKTRe2kC5HwFAiQye4mSHdXjsVcoVQm2VUqep3A
4,bN3RWsD7OfAlTj69EgDfzW77ixnAPYObxZIHVXiU3yh_QJCz,Stèez,50t4XSp__6n1I8SRxcgTFnrND5h-vxtvSCZGDGyFCPKGkHyvRpvuORFI,q1ceJmLaXQ0vF4bb1rHpELLRHgciJsWng9z-fQYltJrrz_g3yYec79infNBd2yGj7zb_MKl9lpNvJQ
5,AJ0T2NphatROPOOrADKFJMMiDvuEZQ5Yv0cDTslmQXUjbB3o,StaceyjHcHv,xN4RaBxq6NYVj-2z10lWooAwupyUvm-RkVDXEcp9wyaxKiW68ngVOFhh,L5bie5sG4M7R8ugfAjcr5EsD3VUIZuolTtAI7RQp8dJxWix_4UiYDhFqSVh0mdfcofaOnlxG7Lt1Rg
6,wud39IUEW3rwjui8tW1AkJxfA_rG5afAxwKlQFGZkyJwiUhl,rUoAgnes,apMnuMKMZIM5AsGOqCn4tTpy0BvS6G9NZIR9otXn1NgySYTWjU31qwpL,_nt_inqOWoZEtDkoPj85vaDB3fLboVYmb2B04gfKCw9_Tz0sJexpADVBgYiXtlnuho6UWic9GzLQKQ
7,SgxQrnJb4oBm3mNXsrfNt02XSNfXWme2CVtvoE0Da1CBZ1MS,sUpTLydia,aSIycVNcTrhNJxgi4-KPFyTStQAtEXt43ikDvcjTeo8hBH-mWeHoG53Z,IzLehZ9uRsUkbfkaj-6kaBITtwPVrZoxGwVb_jCYnXistAPqfdSJsP7ol8dabyZSAYT2v3MYfye3JA
8,kyMre9LCo7HFJ1xoTtwZZshfKyMlKcKg4NLiSDWo_Kov9Vuu,BottomØfTheWell,JXWKBLQSR_t72Hk4C04i2hjQ2UbJ5H8Wx2y6ikie1bodMCsvBCnOppaY,aXjKh7Goeu7ZcrDDJH7Fxa3PFqBSkap8OG-CAgcEmdFs9-UnGohE71LheMbr-6WVVH6Nhs60ro4q1Q
9,Z11Bsdy0-T9Ewz1iUBG1VEF9mpbn7mOQGllsFD385EyJa22K,LeonardcBjI,jjLRVJOXlz3hEiKG6k8HmzduVLL8obVxMdUaNCjmMqBmlxKHNXVMiksJ,eNNPXGjj0ew85EqDr6XmIWMl8S7Ruvne_YLwaSEzttsAFT3X3xpI4O4QO3LpbvxbMyizy2UhDJdVWQ
10,DELKuWoPPLcpIwO0N1_97w3AfAh4rxjjuNqqEmq16TsDivUG,fundamentals pls,vrjcrI7OyVT7GFnTI9jpl1VKqSArVNU7Nx2HO8bLpvZlTno2gh-Bi3EG,UMMfhIjmRwTVpCQL0zb4pioCi0XwFX94zFiIxlYvnB0NJAkmt6jjLLqvA7WkNhv92yYQWFRo_ZrJ-g
11,27i6kIVb6lfIJR6WobQRYHAW6s4XRHfoWBfNyh2p0wTulei5,im rat ad,vJD-llfS2fk53FbdSHIiC16zehXe6KwFH2Oau2jNigVOJWn92XOuHPdD,GT_UmB9JlCfJRhrZdu8m-ecfJ667p8iuZe7tphKq8yDiYwyB4ONVCAE26WE3Bq6vADpTSDhfPBQK5g
12,XL3MvwA-xl6dVSh2XzXX53GpifascASWnC8EBZ0iYZIcTgsm,j4cobtv,R_I3R6FrM5r127P9y34hZjL7NosFnPpgINQS-FgtC5QDmx1N37bdrxnX,gQANQ2eYwcbUMpDshJYuqScRmCWV6SKwjex4_DhjvtphXAjMW8Ie7bSuaB94dwxn4xnZADOTxZZ6Hw
