,summonerId,summonerName
0,ZjZ3-hlx2KqxhDA8KpwxCHrXcTTvQTYvuvPSsUFPgirRakEY,cerul2an
1,Jj341_d12fOprluqFgSYrP6qjwJGfpWEqJTuqBJB7Rnz_Ae4,xTc4
2,7o1il7BxlroLU9slnX4PYD9DeRmuruLN5F_PyQ0vS8pjYWFd,Stun Gun
3,VJq-4B2heTgT7Cr9wY9F3VXJqn0mcgq0iJRdt6fKPZiA7XPA,0044
4,Fum_oVHf4DTiyGYD3gfos0zc4BhcdEO9LTkDwQ2Mm6Bcnwl3,theeggrollpimp69
5,8Kjoudd1gHpaEGN0BaArvq0gGB4E0NYqUaD310i-9o6BAxbJ,Xyrid
6,eQtF0V2r-JbZ4kB1S2_2Q763hwwhZqWI6AJ741CYxLerKCOq,SmhincentXd
7,BugBQLWpkzg2H3q7gZiPOuxFKlVxj4RiT5HOUlUztn88Tbpj,Nerthey
8,2rpKwj_6tJ2Zh0q796JHfrDE9pYwk5rNRRGkQI441_dOlqfz,Fockus Junior
9,qEtYm1enJM2oSZV_R5eABM4zY3vC8UaPI_jhuMc8v4jg3NcY,Meliha
10,sq_YmB_5nc9meuVNw9Wd9Rj4gEpJYMfo4J23L34OagdITM8f,HeartUnderI3lade
11,fL102dNvInldYa1r6UcNVmwEIlmniibXzvvltAamo-hFt4eW,ÆŁº
12,9l7nHm_ChWd1vO4_eZLCjNIhcdRjUzhV2qzrNHfin4HGk3Zg,AmeIiorate
13,2HI7voR_cE-OAPUVMiWLSJbs2SuYV1-VzSPSIVdwMiGnT412,cocodashi
14,3as40hrFnh6rQQIuHu5cTUuDrS_wNk3AQhJ9UhHizz2oZEND,sweet kikiya
15,AOHZ5g8CSRvOy8rURW3heOFME1GvEk_JRw4FozA06AOyBJnG,SpaceHonor
16,HJWf4gNFd3-h8drE0Mq64Q41c056WQf8WBG8U4YmGHWW2Gvo,jin a nana
17,Y1A4exJnjdOkl5Q1PZCmpVaJJnE9L5f62O_OOsFPXahcKb9E,Mr GuangDong
18,9c1Tk0Tx1Md4cDPE2ntfbzrlxwA-H14DpFZXfeBFAGoBXKoQ,UgivemeurFlash
19,hI46SIooNhuczBOGQb88TweOYVfy4PuaKywUIfV-SnFcJ_8b,dOvOb
20,jCPfPRkeVaJPx0kn1gNueTw6271JhCmr_ccgfUs24KKcAASe,Qingqiangg
21,u01u7KhyNBmfZx0zhwsUS_4s0IeJm8D44eWp07trV8CwllqO,H 04 02 03 Boo
22,zIoaj5vqBXIuEbzq8uL7n8GAF7_jQ8xBdQqKydVeKPYOAfpi,Fymous
23,BfgqF0ZPz0Pm-bbYT3-6sSlnGvHCvnlIwlYNJWCjOOYWhMD1,4xix
24,CvQlaLbADFM9bg-zFDKrAvT0MYzcdClmZf6Rsw1G8uIUF-wM,fk boi
25,ukp72-O-Pk1rgjL49N6jbmI6smdVqasJBkg9NJmEhgYZMSW8,madaphrobunny
26,u6wZxR_w8L909Fx-lnhT0bPUrcC6Ndr_9yN96L4zWk5ZGVgJ,Nànaki
27,NhIY377Z5EFqlsw12S1PIM6g-OyJyn0Ey59YNrGpOXzYAon6,asobi
28,YoA1lMG1rnoxS6o_19txdpSrZsOkkAXeJ0qE2MTzLtXzAwHh,hosAaa
29,7CQkUhH2khUuyBh4tJOfnVTnDaUNZxLtjJkMoGwPvLxf5UK3,Tall Hungarian
30,h9tqnh-v8HqArMmJV_fDY7JaxOY_guSmlxM80F8M4QWZmAIV,Popold
31,8llvVkzkrPb55OSrXseg-QGN0pXBD86T2IYoc03OFzCclB-K,Pachies
32,tQgZyOnevXKjjrwXe5pqBqsgnGfYDlP6OE5mG_gOtTs3K2Un,EvilTwine
33,vXuc8RXbYi1aw_zMl72Zu-sTgxNinjx0k65kVe78Bp_e16hJ,Rip wgd20    
34,DKzBVU97MvzBkapRX591wIqCMCjni-5FryuZvJJvd1FS1t_k,fujiwaraD
35,Qu3HjbpP1-FPo4lMxxaMfTo6MWsbS3ntCDBX3TxQMnQy3_85,Hueyko
36,hASf_7c6MPfGLUiy1ffq2YU6SuUnl-CtbDGDSutuy2vRUOPD,Gemini Elf
37,PDwQwnosyw_HrcU-xQYCVpaH_GjztnNZKh4ok3Xa0gVyILsT,G0UGE EM VALOR
38,2G8ZMv0yqFLYlxm286uALJizWCxQlunZBXi9LnAFG3_OYTGc,zZ 18 09 27 Zz
39,axZixk2OLTXy6tLRuiboqV57MoMiiSzd1CXkWW2AgjIJMzHz,Dïllï
40,3hivkA3dXIJQ12y2fzEiSNGG3K3k_qCr-nGN-tvsWLcAofQE,Penta uwu
41,46z5qlZynbsqo431W1HiTQGqXtrngRfbUsmqMCix-1Ku3ADp,usually lose
42,uzMEA1CaK-tZ7z0ZVBd8VPzylUXsdGRIEA_Fyli2AXg4X-5x,Playful Lick 
43,eR3qSn2s810PQS9iVIg351n4Vh4bAzxrEBu1Jh6stHZ7kihz,Saintio
44,_y_r2U_xaePxJ7MwWhKQl8RxqDcDGcLryeK08BU9jaDMzolz,I AND ME
45,cZTboigbLedEsOWFSnPvlZEokPP7UMKhSpdSjjoUDG0qs3UL,KewlKuiltingKlub
46,UdN8YZC0kneNsa2bs1yVDf7O0a-v4K1g-y8b89YIMhaIvLln,Hors du temps
47,2Ryv_KkWru7NoV4UbMhmrDJm6cpZhHwBx7n1OFeXOPTC-DLg,I Abuse The Meta
48,WMyEJ_wHnwMq3kMHTa8E0ye-5P_s2U8XR0kQXKZH2RVxosbI,Xanopopo
49,S0HNZF3WcD_C5R2nWy9skX5Q2LNKv2CbiJbIWwBMNL4MeJ_V,Yiyayiyayou
50,DpG86o8qnsoFL8aPE8Ax7PumEKKloTihxqnTGQvVia3Ou7jn,Elusive Hunter
51,oXKK4a1WEhdw4XguinNqo8M012BLVtuUnZol0ynfIBPR6pPH,Bomaye
52,ieqPZVFlt9X1tWp7Z0nia0S45d9LKZeuMkm8-9BDWfH0ZMgl,Goddess Nino
53,koz1eYSab2dpMG4_ZinGCOBaD3xi0_o9bJtVmkz-iri7Krvm,Bjërgšen
54,4wHqDFKtv4hxF6QBiesxqZ6AmxQoYSyzotbMRwPU06MpSzR-,Stevie Sleet
55,OTA3-39dibY2btKCgjA1GNq7PPZ57ZTarK0lkeE8jR5km-xR,HilmHarsha
56,gxMGjnEKq5_CAOdw53S8u1IrmxZaiiGr1xEPu4xl7hbanW6F,1 V 10
57,zI3xwG11gPO-F3CtQ-F1in2sdbK5qNpIZC-FhSzmvRH5cNsh,Yigirl
58,mj4Ve05SpbryyV5-u2PG4KsBT4DGFQLNVA40ZaZyVBnYbwVA,ToothlessKnight
59,F4LPpBy6BETjLFI7A9LwVhtVls_BWdhAhr8UWLwGG7SHA41R,Iron Medal
60,8SvVa_oAVGnz-6KeQf0t-t8bilfgmkeQI8sOvHORNo-BUxWK,Anh Hieu Kiaa2
61,FZOLrsdIkzAx4ywuJI5_zrJXOUIWr-xpdtQT8v2oiPjEVvEi,KR Leblanc Ahri
62,l_bZJyot77u1i4GLZcb0HlRyTUjDxdTz7wvtrX_CoSworyip,Peeling
63,npokt_914BRXE0Mo-X9ZfLZaA7WGqrExn-K1dLnWEGbCuTSg,FÀN
64,3wgwgKf4zrP9dHSnVmk3OVjyNdIKHbxRIcUNn3Xb6N9kfhAb,Ânkor
65,8wE2Dnt5vJweH_oryinNsN6GLrOcfQ6heLgzzxsS8bR9966f,LAWNMOWERRRRR
66,W_ddTayAMKZrVFyZd77LDWQngNbcBOMsIhhz699bdjwsbojU,Kaori Miyazóno
67,PtTz5Rk6vPNpPKkqE2XvYGD6vQxZb3df5EPqtvGs05tR56Pj,autumnCats
68,MocKe8RCgbRY8oxsdjKAT7ISm1pclbnYM6g60bAnDXECZqDF,Iron Dragon
69,ioMyvCI6uWAUKCqxxRUIouzKt8xPLLvIWi6gPw5VL37v4rtn,Young and Hung
70,V_hy7XIh04acxEheJMZiw2Hna_7QdVP56NTAYr9iiy5V5hWh,healthy juice 
71,rBfPaUB4POape5qagE6134_5FOyE6MXSjcw2IMVcNwnPA5FZ,Phoenyx3
72,R2O2tSaHrRLN6h30Lq8QG0X9wSywco3jSnDAA_oaKOERb36N,07 05 2018
73,43buOj7sN3MoUHBjf8gKiI7oDTddePjyXG9GeF43A2UI1Snw,Zydacol
74,twzW_41Rq0tF9RRjjKCL2tXAAAegAIzBBw0qhZ4LoWa-AIZP,Golden Robinson
75,8JzwM__zAhqAV_WOxI6QdL7M_a0_xc1CNVjglYcpDbyXHgz9,Melisa Ortiz
76,1TcHF18FpUwwKnO0HAbCJ_Tdn0teyZm55y6TCfNU5CueLyKO,Sky Bear
77,LwXZcMpmFQYwFMMkdUB0x00o1Jh_1jvh6j1SHhwRA948_cnJ,Behind Light
78,4crh1yZ_wU7kC-7YLHGU7-FjjWd4YqByl2SV3zSDEs3gjzp4,Jamieelala
79,yUMIXQFjDo0OxdD3r1BsX5aTAw_XT8gV3I60TNTkB_l95N1Z,Enemy Rengar
80,AEiFZZjs1DqWPg4HY2yHXbv7th9VvBzVAuhaMWjXo6TJ7ffQ,Your wanan
81,OLZHwnhFEKsq7GdW7m0_tbuL0RZDVkFOktEwlzBtes2VijyA,jenníé
82,II5ylI_cqYAquCDupEj6BQmq8bbbnSX4In0A0Pux80t_4Cj5,gymmerino
83,JHfACKd4zGfPtYtR-Oppa4DTFFgyWoy_3ehhL9cMtZ2hOfN1,StellaRosé
84,L0QCNnXqQeglQpGFRN8P56QkZZRiZghG-a2udukjiyLjTJ0f,SlX SlX SIX
85,ZzVxgJwtQVMWK4YSwA7bjPbImGSeCNYoIHhQQw9PTWEyppD4,DivineMantra
86,q7T5A3gxQ3SUXpMVXJDeRpNPy0dXhqEpGVZ0Yz0QcWRlnsNh,Vayne 4 Life
87,uBLOKf0WbfGT_Lz_pHkIl9R2eIhxulimaqE9N-GCNfRR9LEM,ad import
88,fEoSdRk1ODiBzJGGOBR0GjLwgDnKTWCXpySa0_JxCZvNKZHa,The EarRæper
89,HpQJDnIDKcbYT2dxilFQrFVBGT3Ol4zBIBlbYPWU12V_7WN2,Swordd
90,A-BeFC9rt4Klbx3IPypI43r0P4ODmvoU_N0Gwyyn7db91vbx,unlucky jg diff
91,nskEjGjedO_Zcsm7mLmlu_nTiA_ZYg7gKIjliE9jiFAWOdzI,JGORKEEPDYING
92,ysOjY62YWD4SM4uTlPp6krOxMZoO8Iil7DUDWRQ_nTA875kC,DoubleNihg
93,bKiRAcdOHRE7g4ZdMrYyGAEac5Fp8mqUsLzu8cwR8zWV6mIM,Nanyuu
94,USUngwno4iQNYWaOhh9UsStkqVfHpxL9DauPphHZcYy3IOlQ,DrunkenSun
95,-KMEzQ8toU8MTQwSA7b8gA41cZfjodlLg7k39XJjobDguD-g,League of Gamble
96,YV7vAuZ0d9i6BzIaAVYI0H4s6lDqV0NZVn5wo5uDimGgFCOo,Deserter
97,kb4Efec9qGDc_z67doe9ZphI_DcefDwn-oKYyCblPZSeQEPu,Rena Kudo
98,LVuIG4lrlFkQJircNJ85DU3iWxv_7i9sT6V2g1Z4IOw6SWVx,Dont Fart Here
99,L7-YiiYuRCMF_mjcP9O8DnDo1xhGrj2bM7TbXwGqs5jW6dzO,0xdc
100,oTFfQZ4SN7wTY67cFdFq0RRo8B-nRE8pK2HRvT1__Kd99v7W,yybloC
101,SPbJBBnq-9iyDQfDWxgtaPWCq4pkAOexC6NOLTdi3d5MSKDK,Hide on barrel
102,hfQNJXlHynFehUxK4-7Rwin1wEG-BDNB9RzLj6jW5aKyQsSE,Denseholyhorn
103,3POwD99ODFdLOPmiYaLvKO-qc5YW7FNT0TRBNE5_OMRK0Y5n,BComplete
104,LRsay2IK_O1U0JFnyClz2j-3sLxfuVmxP1DMDn48bp0pGz0_,Fusion
105,DqcnpVC0Ukg_zRek1ezIHu8cfeQSOL2heGiEnKBVIsStW-Bz,lp reaper
106,Czi4FkS9rxhrj-cDeBdO8ncmvNAsAdPoViWauyMS3tvwQg0u,2002 11 08
107,ogU4cJTs4iy0mo7sx3oU6AHuZG_w2o993_ytpC9rE5sVrCx5,c plus girl
108,pQaa_k80Zi8yInIPyWixbjxO8z4kX1el9FQYPLImTUOJSq7g,Bak Cho1
109,HEbEt5fwIlnVXG6uyCLQ0b5aaoqmxyWYFtplylAemCqB5Ics,migmanmugmo
110,zJii44Szs-iHt0ikg-Q3NWIH838r_H4-Oo1l_f2EeoVE-PKr,Profoundsoup
111,AHqTVqDScKgssj0S_YUUU_pzZv-0ufIaDqSMm7c1the2qARX,Draven my dream
112,UwykZ5DQZa-YJoNWY7iBtCYhY35f2jSPzSU3fqFeQhGvQBDH,X 12 11
113,wxMsy-Vz7xP5zCa2Q0DAooozk_iE-RYwtM-7RWmoBKEZOFMr,Treachery
114,FpU1qQJgsqwhtNTD7JURQ6P8KRIOZNeMtcLeA3k3IodEL5-Q,not an eboy
115,efG1HrdTqgV1Aq_pa-jo4mEWp1YXtUWOKXMoRQzTaFg7Oqjx,Ryanbiubiubiu
116,FOOX9Bn8ZIADAnBWWoOXWiodDkrEUapmLPgMPIXQ8HavQFux,puppy puppy
117,08n-GmG-pZrjycu0CbD20KBKS2WwyU_PhUvtSA9ewhZdtaGl,TwTv BIanksterz
118,UrXUpq3NV88P8DBJB1OanMzyZujgNpo6HEyvFKL52p81xaU9,HowToPlay  SUP
119,4ilxiT3Wg3B68NxrCIUD99B-veQ4D4XaHUAdh9M_6IINrSmF,Dream Market Bot
120,DaNFXviQaGyhUAI5xCendepmnLRjcRd95LI-YHvcLGZ1JCXu,SMD Mtnops
121,gJ2OoZaxoUL-FNCrxNJvM7vGWaUEErH8c-VVnG5BQZsqyuwn,RP Investor
122,CrDLismOY6IhzJPAsvC7ON-eV5B16sX11EpIM71NqXfU57ID,Rihavein
123,IKTq9KpoceAprzctkWxkaNuQglBnNQkF4aLVvhC9PsDC5aJ7,me arthur chen
124,2rzeH_Mjlb4eEdXamf0FwVybydcGNiOHF4TFSO33eefDLdlK,Higher IQ Wins
125,TQCyZtHUPC2TqqH-W9HMCNyPuI7cbjjxyoDoQJG37pFUYzqA,Rusty Anne
126,eA4Z7T_cbGFqunsUM7s21JM3CYTmqPfvRfRXlxeWt0ICghxR,KeppySS
127,8fm5LQ-GTAHjRk686DUwT2c8T3NgSFHMm_ct6OgW6yv3Z0ir,Sukiko Yuuko Nam
128,PBOJo4GPEyt-_XpyTUsx2YSywx1EguYGv2ZrwEnjhBTbFgNG,MilkyWayyyy
129,rpGRtcSZF3ewILH5khaeC7e5mzXR8Dbs2lDD7wyVrjUveNyy,Scrag
130,23mrtCNivmGNSzZQR0iYYI1KFDORSzbxTttzPzHF_QzeecUS,HeelyWheeIy
131,F3Si_pTPwHwpP8pMh5oIQ4-dYYKMz3QtuQtp8CRQ_CaArCXI,03 23 200
132,RgWCCejipC2YvptoDDeKXBLeIO1ZGEWeP8vjev_LdthHQO6l,TWTVYOURPRINCESS
133,XorMPs64SNHJtwBbCdZI7NjUD3x0FsQFVsC7Gw3Nciri_IPV,ratwick
134,BsVnGFCJJe0U0Fimupm4prfmL9ZEWKwD5MfEvKcFHnzXvwJY,Mello Z
135,k7S-tuwacrzAfk2jBe5mUTsq8f1Ir3UjTk8MkES1pv-MrTB3,Raimondo Murders
