,summonerId,summonerName
0,bf9WqYjnAsDTC59RB13-1TQK_cfLf7CZMAKWuxAx7Kb0laKH,Sweets
1,zC6hZYZhiMVWyDUJnIR11VN_4l2V9BA3-JOY9x-uIccBBrTG,FayrOpR
2,gWR2E_zZJtYpd7nLWHyLEPEGE2yrFHs6jGdiuQgG8tbImOSB,U LoZe 1
3,TGaVUILd2cAUnA5I5g__pKJ-KJecpzgrdYj444VRKhDMtgEW,Rhedith
4,tPHwM5JwNGrWzu9GeEGj5S8wSyhACkk2UDHXWuBYUyZtrkaw,SneakyDomin8or
5,bevg-VhY_yRVTtFIRXrqfIhy8zbLLd5BxaPVcsiYJHNG_VI-,DarnelllObC
6,F-XpBMSh7vLJ4VaRskzEVIfP1hndoa3jFcD3ISeQZDxb44oO,Jheepsy
7,7QYS-pwhX6A1HZu6O3DCshxmP0vCNyoKvsX9zi1A97kcQWz5,JudgeJudySmurfin
8,HA-uXJcsZwbtMmM8bNrSCVQ1wBY2vX_M8N5KVAVjf3b9AigD,llIIIIlllIIIIll
9,iCDWziNUJmqGGBR6-7KD7KqmBgm4i7DyAQ4h5LuzsyEzEEMf,Marcop0la
10,VYq5jvTQ0x-q6koGZ3nEn4DNLq_zXEyo7mtLJB8Twkgx3sWE,Missed My Auto
11,voUuWXe-zvLemojKz-JuRkXT0m8Ff_KC2eL45YBdgkeEQg56,iıı
12,Pi5Nznr_Gca9-jZVo_XWfdoH-UgZtWpZdL9O5zZrvaLeBvpx,MuffinyV3
13,UJ71nsXAm2x4SAP1i4OBv_nvudk5cWnjImGZcbZh77XUTa-1,Proud bronze 10
14,F9c3SUosfYovuEiEOl_U2FNdmMOmsnFgsucolvw_An8YoFzs,The Darling
15,TQYvec9lKi0M1lUDGbu-O5Ql05NScXvfKx_v0ehnE69sJwLo,heicyou
16,Yqoqpx4_2_TouZziiW-f-EnqJHbjQX3eVHm4bjmGNMVjgj8B,PSYCHOSADISTIC
17,DD0GEJEVAgh90KNq8WpMWOHthpbWZWxqbkXFfL7RRSWpeX6g,SneakyBear
18,EalrHyZYPP8mhTdkYF5hNq1ije3qJ0gmmuDrawtkhZify3ag,Intox ZyRa
19,Uo8nImrUtEKW5CAdimWadpHK-Fv4K9IH2flmYkG-OB33XT_Y,GwangHwaMunKyu
20,DPCqr937Gjp5sp69_qm0XLbsWdQyaA5XpOZ4rl-7hWXnxJb3,DragoFlames
21,68QyZbMPgHTaLg5kXbx8HnAbFTheUWLyvfFkXT9znorgErBg,She Is Gone
22,hgBiQ5gYCMORkPntWKxofEueFZ9HNN4F8Dh-rJJ9C9SkkJa6,Please Cuddle
23,U47djBLoLkH7XyF79lnqBlWsfO0FoXElxD9_we_O4RDkaPZ9,corpsenumbertwo
24,JJGi6cxTlVdRFgXQtcp9NVyjfv8sLEJRwtF4lYc2DxX5NL-k,LeagueOfDaveed
